zeta,wn,lambda,J_R,V_K,J_K,tracking_error
0.3,0.5,200.0,0.16566413347548667,28.321755752822696,0.1694289805243739,0.048568160693501276
0.3,1.0,30.0,0.1847781851205453,29.986154110614837,0.1844535754110967,0.02065658043287134
0.3,2.0,30.0,0.1847781851205453,31.009014819354135,0.21298417096285263,0.016411163617567982
0.3,4.0,30.0,0.1847781851205453,31.8978932785707,0.2285783965351601,0.014227062907476102
0.3,6.0,30.0,0.1847781851205453,32.1431952569786,0.24548246192685771,0.014945086782754817
0.3,8.0,30.0,0.1847781851205453,32.53651903998114,0.26431715598165045,0.01679906003743532
0.3,10.0,30.0,0.1847781851205453,32.62154263945263,0.2751868803825493,0.017319553057828306
0.3,12.0,30.0,0.1847781851205453,32.75263237747795,0.27889853004912385,0.018377715747184782
0.7,0.5,200.0,0.16566413347548667,25.271733710350276,0.15848511486139527,0.037712055277394005
0.7,1.0,200.0,0.16566413347548667,27.690166323167844,0.18247086501425008,0.02371237423240916
0.7,2.0,30.0,0.1847781851205453,29.640465634630722,0.22260550182772476,0.021509947954030224
0.7,4.0,30.0,0.1847781851205453,30.965317613712735,0.24755566814330354,0.01728574682698569
0.7,6.0,30.0,0.1847781851205453,31.414309046495315,0.26308393011622155,0.01669428281418751
0.7,8.0,30.0,0.1847781851205453,31.657502558726907,0.2696553282389136,0.015470695147710076
0.7,10.0,30.0,0.1847781851205453,31.915460728843087,0.27402206272359375,0.016246118303985483
0.7,12.0,30.0,0.1847781851205453,31.974363212517396,0.27666698870481937,0.01564431378730399
1.0,0.5,200.0,0.16566413347548667,24.099925052626396,0.16559151804601668,0.03942855428259185
1.0,1.0,200.0,0.16566413347548667,26.502976919542963,0.18443880388878128,0.027745500144304838
1.0,2.0,200.0,0.16566413347548667,29.034272660272546,0.1993355972766714,0.02180195429250517
1.0,4.0,30.0,0.1847781851205453,30.330968147538304,0.2567048549465681,0.01871925317033168
1.0,6.0,30.0,0.1847781851205453,31.043067898742567,0.26683151761360147,0.017902419438958046
1.0,8.0,30.0,0.1847781851205453,31.36193005482474,0.27201553760004854,0.017116121225666435
1.0,10.0,30.0,0.1847781851205453,31.537467725884223,0.2740377166508964,0.015855290410682402
1.0,12.0,30.0,0.1847781851205453,31.812895140659755,0.27655976466927673,0.016081619732086033
