lambda,V_R,J_R,mean_task_return,success_rate,mean_final_distance_to_pad
0.0,38.23260164793466,0.20615452488139954,143.21268101829187,0.7133333333333334,0.11054538543312854
3.0,38.73454320992941,0.1995549054340603,150.33146664698563,0.6933333333333334,0.16553975044444566
10.0,38.20535170418314,0.19199291504917695,146.97679156644037,0.68,0.15113816914142914
15.0,39.21246408014117,0.18790294623269477,146.58890421958878,0.6666666666666666,0.16209663223992138
20.0,38.21056562758463,0.1858731166048221,153.88817490430938,0.7133333333333334,0.13255300178815635
30.0,38.629800522488544,0.18689167973326148,156.85166857983634,0.7533333333333333,0.13341851148422965
50.0,38.330399059999735,0.1766067492528864,148.02273835092268,0.68,0.16831516658421766
100.0,38.982252567483265,0.17868696466295694,158.3397670714513,0.7333333333333333,0.12166110048696031
200.0,37.90051948207166,0.17013458025365708,124.88638898583527,0.6066666666666667,0.10755408740950673
500.0,38.469834343159405,0.1665864217413551,150.65361514013773,0.7133333333333334,0.11786406451407695
1000.0,38.059260577124185,0.1693203233341049,140.97174002938695,0.7266666666666667,0.10011389527049111
